track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,125,Major,80,89,83,31,0,8,4,Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122.4,"1,673,557,134","54,950","91,343,768",80.0,"397,523,735","10,125,293","341,522","114,990,786","761,760,624"
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,92,Major,71,61,74,7,0,10,4,LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052"
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,138,Major,51,32,53,17,0,31,6,vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"998,964,097","90,793","87,801,398",18.0,"113,450,524","2,108,657","394,640","152,624,014","1,448,207,880"
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,170,Major,55,58,72,11,0,11,15,Cruel Summer,Lover,Taylor Swift,8/23/2019,USUG11901472,451,72.8,"2,188,247,133","121,479","201,964,859",88.0,"342,388,433","2,291,619","3,233,521","465,904,062","4,967,025,679"
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,144,Minor,65,23,80,14,63,11,6,WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,"717,849,037","98,440","37,797,217",72.0,"217,687,654","1,929,598","308,670","85,402,638","808,518,802"
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,141,Major,92,66,58,19,0,8,24,Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,"692,512,930","199,828","55,464,762",78.0,"219,666,692","2,332,307","731,797","130,560,533","1,254,944,697"
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,148,Minor,67,83,76,48,0,8,3,Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,215,336,974","129,463","39,814,172",74.0,"701,880,622","3,831,236","5,416","550,073","15,373,104"
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,100,Major,67,26,71,37,0,11,4,Columbia,Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,"721,002,940","84,161","56,226,278",79.0,"266,411,536","1,343,262","372,100","71,411,756","752,868,970"
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,130,Minor,85,22,62,12,0,28,9,fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,"759,998,727","188,142","80,392,612",80.0,"94,699,547","1,222,012","1,237,229","311,252,391","3,281,790,327"
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,170,Minor,81,56,48,21,0,8,33,La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,032,225,805","94,887","74,469,479",79.0,"920,878,032","3,118,229","1,031,612","116,003,972","2,416,141,351"
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,83,Minor,57,56,72,23,0,27,5,un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,"1,008,495,696","99,381","57,394,938",75.0,"878,892,413","4,425,283","796,603","127,651,887","1,669,065,906"
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,150,Minor,78,52,82,18,0,15,7,Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,USA2P2330068,298,88.4,"547,471,596","48,103","22,977,059",77.0,"202,977,396","2,705,714","1,201,620","210,186,679","1,998,080,214"
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,118,Major,71,65,68,6,0,3,7,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994"
