track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,125,Major,80,89,83,31,0,8,4,Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122.4,"1,673,557,134","54,950","91,343,768",80.0,397523735.0,10125293.0,341522.0,114990786.0,761760624.0
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,92,Major,71,61,74,7,0,10,4,LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79.0,934302031.0,4294166.0,11054500.0,521725116.0,7499234052.0
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,138,Major,51,32,53,17,0,31,6,vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"998,964,097","90,793","87,801,398",18.0,113450524.0,2108657.0,394640.0,152624014.0,1448207880.0
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,170,Major,55,58,72,11,0,11,15,Cruel Summer,Lover,Taylor Swift,8/23/2019,USUG11901472,451,72.8,"2,188,247,133","121,479","201,964,859",88.0,342388433.0,2291619.0,3233521.0,465904062.0,4967025679.0
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,144,Minor,65,23,80,14,63,11,6,WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,"717,849,037","98,440","37,797,217",72.0,217687654.0,1929598.0,308670.0,85402638.0,808518802.0
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,141,Major,92,66,58,19,0,8,24,Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,"692,512,930","199,828","55,464,762",78.0,219666692.0,2332307.0,731797.0,130560533.0,1254944697.0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,148,Minor,67,83,76,48,0,8,3,Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,215,336,974","129,463","39,814,172",74.0,701880622.0,3831236.0,5416.0,550073.0,15373104.0
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,100,Major,67,26,71,37,0,11,4,Columbia,Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,"721,002,940","84,161","56,226,278",79.0,266411536.0,1343262.0,372100.0,71411756.0,752868970.0
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,130,Minor,85,22,62,12,0,28,9,fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,"759,998,727","188,142","80,392,612",80.0,94699547.0,1222012.0,1237229.0,311252391.0,3281790327.0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,170,Minor,81,56,48,21,0,8,33,La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,032,225,805","94,887","74,469,479",79.0,920878032.0,3118229.0,1031612.0,116003972.0,2416141351.0
