track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122.4,"1,673,557,134","54,950","91,343,768",80.0,"397,523,735","10,125,293","341,522","114,990,786","761,760,624","1,800,517,153",86.0,"23,714",861,54.0,"5,286,388",56.0,"6,442,882","4,352",,"2,310,409",,1
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052","2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,"12,171,026","13,242","871,978","2,765,808",,1
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"998,964,097","90,793","87,801,398",18.0,"113,450,524","2,108,657","394,640","152,624,014","1,448,207,880","1,111,017,294",173.0,"161,513",93,61.0,"5,239,925",128.0,"28,318,435","67,590","4,296,515","4,872,257",,1
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12305004,781,54.8,"997,536,616","5,268","1,949,130",1.0,,,,,,,48.0,"301,028",,2.0,"18,375",2.0,,,,,,0
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,Cruel Summer,Lover,Taylor Swift,8/23/2019,USUG11901472,451,72.8,"2,188,247,133","121,479","201,964,859",88.0,"342,388,433","2,291,619","3,233,521","465,904,062","4,967,025,679","822,448,758",273.0,"913,464","1,264",122.0,"21,554,174",117.0,"60,954,563","84,157","2,171,676","3,476,323",,0
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,"717,849,037","98,440","37,797,217",72.0,"217,687,654","1,929,598","308,670","85,402,638","808,518,802","47,337,825",126.0,"57,673",125,35.0,"1,416,698",41.0,,,"4,037,512","2,076,698",,1
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,WHERE SHE GOES,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QM6P42352188,"2,208",30.4,"717,849,037","11,199","4,402,776",,,,,,,,16.0,13,,,,,"22,701,001","8,039",,,,1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,"692,512,930","199,828","55,464,762",78.0,"219,666,692","2,332,307","731,797","130,560,533","1,254,944,697","918,145,630",155.0,"42,082",36,41.0,"1,790,031",76.0,"411,656","3,414","12,405,917","3,093,667",,1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,Sprinter,25th Birthda,Central ce,6/6/2023,AEA2M2372385,"4,729",20.2,"675,375,297",12,254,,,,,,,,,,,,,,,,,,,1
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,215,336,974","129,463","39,814,172",74.0,"701,880,622","3,831,236","5,416","550,073","15,373,104","546,259,059",83.0,"40,153",227,24.0,"4,946,338",61.0,"84,378,219","53,890","17,115,523","3,435,177",,0
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,Columbia,Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,"721,002,940","84,161","56,226,278",79.0,"266,411,536","1,343,262","372,100","71,411,756","752,868,970","535,715,103",47.0,"51,158",44,39.0,"1,537,049",64.0,"260,176","1,269","120,842","1,148,958",,0
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,"759,998,727","188,142","80,392,612",80.0,"94,699,547","1,222,012","1,237,229","311,252,391","3,281,790,327","140,623,676",123.0,"265,291","4,003",40.0,"2,225,409",88.0,"64,456,799","20,518","33,130,829","3,945,184",,1
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,032,225,805","94,887","74,469,479",79.0,"920,878,032","3,118,229","1,031,612","116,003,972","2,416,141,351","1,690,231,413",83.0,"57,941",177,42.0,"3,360,878",48.0,"55,410,702","27,415","230,579","2,635,577",,1
