title,author,username,year,genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,rank_score
A Bar Song (Tipsy),Shaboozey,shaboozey,2024,modern country pop,0.709,0.0804,"81,012",0.0273,0.0633,0.0,4,0.722,9,171292,-4.95,0.604,1,100
Die With A Smile,Lady Gaga,ladygaga,2024,art pop,0.592,0.122,"157,969",0.0304,0.308,0.0,3,0.521,6,251668,"-7,777",0.535,0,99
BIRDS OF A FEATHER,Billie Eilish,billieeilish,2024,art pop,0.507,0.117,"104,978",0.0358,0.2,0.0608,4,0.747,2,210373,"-10,171",0.438,1,98
Espresso,Sabrina Carpenter,sabrinacarpenter,2024,pop,0.76,0.185,"103,969",0.0285,0.107,6.54e-05,4,0.701,0,175459,"-5,478",0.69,1,97
I Had Some Help (Feat. Morgan Wallen),Post Malone,postmalone,2024,dfw rap,0.855,0.245,"127,986",0.0264,0.00757,0.0,4,0.638,7,178206,-4.86,0.731,1,96
Lose Control,Teddy Swims,teddyswims,2023,Unknown,0.604,0.104,159.92,0.0337,0.199,1.9e-05,3,0.561,9,210689,"-4,409",0.242,1,95
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",feliciathegoat,2024,hip hop,0.884,0.368,150.45,0.555,0.357,0.0,4,0.576,0,197020,"-5,058",0.373,1,94
Love Somebody,Morgan Wallen,morganwallen,2024,contemporary country,0.843,0.164,"122,064",0.0284,0.00948,0.000118,4,0.619,5,204829,"-5,348",0.746,0,93
Taste,Sabrina Carpenter,sabrinacarpenter,2024,pop,0.907,0.297,"112,964",0.064,0.101,0.0,4,0.674,3,157280,"-4,086",0.721,1,92
Noid,"Tyler, The Creator",feliciathegoat,2024,hip hop,0.77,0.243,"82,157",0.242,0.473,0.000151,4,0.38,1,287693,"-5,993",0.47,1,91
Beautiful Things,Benson Boone,bensonboone,2024,singer-songwriter pop,0.471,0.14,"105,029",0.0603,0.151,0.0,3,0.472,10,180304,"-5,692",0.219,1,90
"Good Luck, Babe!",Chappell Roan,chappellroan,2024,indie pop,0.582,0.0881,"116,712",0.0356,0.0502,0.0,4,0.7,11,218424,-5.96,0.785,0,89
APT.,ROSÃ‰,roses_are_rosie,2024,k-pop,0.783,0.355,"149,027",0.26,0.0283,0.0,4,0.777,0,169917,"-4,477",0.939,0,88
"Sticky (feat. GloRilla,  Sexyy Red & Lil Wayne)","Tyler, The Creator",feliciathegoat,2024,hip hop,0.812,0.444,80.09,0.461,0.285,0.0,4,0.505,1,255916,"-3,986",0.664,1,87
"Darling,  I (feat. Teezo Touchdown)","Tyler, The Creator",feliciathegoat,2024,hip hop,0.818,0.434,"97,571",0.102,0.36,0.0,4,0.373,3,253834,-3.19,0.361,0,86
Rah Tah Tah,"Tyler, The Creator",feliciathegoat,2024,hip hop,0.878,0.381,"82,557",0.31,0.00289,0.0,4,0.661,1,165413,"-4,099",0.514,1,85
Too Sweet,Hozier,hozier,2024,irish singer-songwriter,0.62,0.0398,"117,038",0.0412,0.0295,0.000809,4,0.741,10,251424,"-5,505",0.934,1,84
Please Please Please,Sabrina Carpenter,sabrinacarpenter,2024,pop,0.586,0.104,"107,071",0.054,0.274,0.0,4,0.669,9,186365,"-6,073",0.579,1,83
Not Like Us,Kendrick Lamar,kendricklamar,2024,conscious hip hop,0.472,0.141,"101,061",0.0776,0.0107,0.0,4,0.898,1,274192,"-7,001",0.214,1,82
